Zona;Latitudine;Longitudine;Orario;Volume Traffico;Velocità Media (km/h);Eventuali Rallentamenti;PM10 (μg/m³);NO2 (μg/m³);O3 (μg/m³);AQI;Bus
sostitutivo tram 3 | p.za di porta maggiore;4.183.325.823.810.450;12.394.452.799.341.800;08:00-09:00;885;15;Elevati;23;39;42;34;3nav
sostitutivo tram 3 | p.za di porta maggiore;4.183.325.823.810.450;12.394.452.799.341.800;12:00-13:00;350;37;Moderati;33;36;36;35;3nav
sostitutivo tram 3 | p.za di porta maggiore;4.183.325.823.810.450;12.394.452.799.341.800;18:00-19:00;942;23;Elevati;25;38;45;36;3nav
staz.ne trastevere (fs);41.891.390;12.513.932;08:00-09:00;898;20;Elevati;38;27;34;33;3nav
staz.ne trastevere (fs);41.891.390;12.513.932;12:00-13:00;425;36;Moderati;26;37;34;32;3nav
staz.ne trastevere (fs);41.891.390;12.513.932;18:00-19:00;890;23;Elevati;24;39;49;37;3nav
lido centro (rl);41.880.503.976.683.400;1.248.239.228.455.020;08:00-09:00;992;22;Elevati;30;39;38;35;14
lido centro (rl);41.880.503.976.683.400;1.248.239.228.455.020;12:00-13:00;493;34;Moderati;26;25;41;30;14
lido centro (rl);41.880.503.976.683.400;1.248.239.228.455.020;18:00-19:00;988;18;Elevati;23;31;39;31;14
ostia antica;41.891.958;12.514.158;08:00-09:00;946;16;Elevati;33;26;30;29;4
ostia antica;41.891.958;12.514.158;12:00-13:00;376;37;Moderati;27;26;41;31;4
ostia antica;41.891.958;12.514.158;18:00-19:00;936;17;Elevati;25;28;44;32;4
acilia (rl);4.175.486.886.731.510;12.384.797.864.291.300;08:00-09:00;777;20;Elevati;21;38;45;34;65
acilia (rl);4.175.486.886.731.510;12.384.797.864.291.300;12:00-13:00;391;34;Moderati;27;31;37;31;65
acilia (rl);4.175.486.886.731.510;12.384.797.864.291.300;18:00-19:00;718;19;Elevati;29;36;32;32;65
circolare acilia (rl);4.188.489.737.041.830;12.289.320.905.274.000;08:00-09:00;803;24;Elevati;28;39;35;34;63
circolare acilia (rl);4.188.489.737.041.830;12.289.320.905.274.000;12:00-13:00;427;37;Moderati;23;38;34;31;63
circolare acilia (rl);4.188.489.737.041.830;12.289.320.905.274.000;18:00-19:00;851;18;Elevati;21;28;40;29;63
dragona;41.891.363;12.514.393;08:00-09:00;925;22;Elevati;35;25;35;31;63
dragona;41.891.363;12.514.393;12:00-13:00;389;38;Moderati;34;34;49;39;63
dragona;41.891.363;12.514.393;18:00-19:00;806;17;Elevati;39;26;33;32;63
idroscalo;4.192.518.704.406.410;12.464.584.220.080.300;08:00-09:00;928;22;Elevati;31;32;41;34;5
idroscalo;4.192.518.704.406.410;12.464.584.220.080.300;12:00-13:00;488;35;Moderati;24;26;43;31;5
idroscalo;4.192.518.704.406.410;12.464.584.220.080.300;18:00-19:00;944;21;Elevati;30;28;42;33;5
lido centro (rl);41.891.763;12.514.565;08:00-09:00;801;23;Elevati;22;37;37;32;14
lido centro (rl);41.891.763;12.514.565;12:00-13:00;494;37;Moderati;38;39;49;42;14
lido centro (rl);41.891.763;12.514.565;18:00-19:00;925;21;Elevati;32;26;32;30;14
ospedale grassi (h);4.191.584.875.191.830;12.218.424.581.858.400;08:00-09:00;965;21;Elevati;32;38;30;33;5
ospedale grassi (h);4.191.584.875.191.830;12.218.424.581.858.400;12:00-13:00;472;38;Moderati;29;26;37;30;5
ospedale grassi (h);4.191.584.875.191.830;12.218.424.581.858.400;18:00-19:00;966;20;Elevati;38;30;44;37;5
mercato ostia;4.193.128.838.032.290;12.258.762.149.924.400;08:00-09:00;831;24;Elevati;30;35;32;32;05b
mercato ostia;4.193.128.838.032.290;12.258.762.149.924.400;12:00-13:00;374;37;Moderati;36;30;38;34;05b
mercato ostia;4.193.128.838.032.290;12.258.762.149.924.400;18:00-19:00;986;20;Elevati;28;36;30;31;05b
lido centro (rl);41.872.813;12.465.477;08:00-09:00;723;16;Elevati;22;39;36;32;14
lido centro (rl);41.872.813;12.465.477;12:00-13:00;333;39;Moderati;33;30;30;31;14
lido centro (rl);41.872.813;12.465.477;18:00-19:00;923;17;Elevati;36;28;34;32;14
mar rosso;4.176.754.619.766.760;1.233.257.159.966.910;08:00-09:00;937;15;Elevati;39;29;30;32;05b
mar rosso;4.176.754.619.766.760;1.233.257.159.966.910;12:00-13:00;356;30;Moderati;21;38;38;32;05b
mar rosso;4.176.754.619.766.760;1.233.257.159.966.910;18:00-19:00;762;21;Elevati;22;35;49;35;05b
termini (ma-mb-fs);41.901.297;12.500.420;08:00-09:00;948;16;Elevati;38;36;30;34;714
termini (ma-mb-fs);41.901.297;12.500.420;12:00-13:00;452;36;Moderati;23;26;48;32;714
termini (ma-mb-fs);41.901.297;12.500.420;18:00-19:00;800;23;Elevati;36;33;47;38;714
p.za dei gerani;41.873.125;12.466.172;08:00-09:00;721;24;Elevati;29;36;31;32;519
p.za dei gerani;41.873.125;12.466.172;12:00-13:00;478;33;Moderati;35;36;46;39;519
p.za dei gerani;41.873.125;12.466.172;18:00-19:00;886;20;Elevati;24;29;49;34;519
lido centro (rl);41.901.000;12.499.733;08:00-09:00;707;16;Elevati;21;30;47;32;14
lido centro (rl);41.901.000;12.499.733;12:00-13:00;382;33;Moderati;31;36;39;35;14
lido centro (rl);41.901.000;12.499.733;18:00-19:00;862;18;Elevati;25;31;37;31;14
infernetto;41.872.813;12.465.477;08:00-09:00;939;22;Elevati;31;33;43;35;70
infernetto;41.872.813;12.465.477;12:00-13:00;462;33;Moderati;22;31;30;27;70
infernetto;41.872.813;12.465.477;18:00-19:00;823;21;Elevati;31;36;37;34;70
c.colombo (rl);41.900.835;12.500.470;08:00-09:00;892;24;Elevati;31;28;30;29;70
c.colombo (rl);41.900.835;12.500.470;12:00-13:00;465;39;Moderati;35;30;38;34;70
c.colombo (rl);41.900.835;12.500.470;18:00-19:00;763;19;Elevati;21;28;48;32;70
campo ascolano;41.873.125;12.466.172;08:00-09:00;982;20;Elevati;23;39;39;33;7
campo ascolano;41.873.125;12.466.172;12:00-13:00;397;30;Moderati;24;29;30;27;7
campo ascolano;41.873.125;12.466.172;18:00-19:00;879;20;Elevati;20;31;43;31;7
villaggio tognazzi;41.769.220.311.483.100;12.594.546.310.733.300;08:00-09:00;823;24;Elevati;30;38;31;33;7
villaggio tognazzi;41.769.220.311.483.100;12.594.546.310.733.300;12:00-13:00;361;36;Moderati;27;28;49;34;7
villaggio tognazzi;41.769.220.311.483.100;12.594.546.310.733.300;18:00-19:00;712;18;Elevati;37;28;40;35;7
c. colombo (rl);41.901.522;12.499.110;08:00-09:00;925;16;Elevati;36;26;32;31;07l
c. colombo (rl);41.901.522;12.499.110;12:00-13:00;463;32;Moderati;22;25;45;30;07l
c. colombo (rl);41.901.522;12.499.110;18:00-19:00;905;23;Elevati;33;27;31;30;07l
via litoranea;4.175.307.461.571.880;1.256.934.480.093.210;08:00-09:00;781;20;Elevati;22;38;38;32;07l
via litoranea;4.175.307.461.571.880;1.256.934.480.093.210;12:00-13:00;394;36;Moderati;36;37;34;35;07l
via litoranea;4.175.307.461.571.880;1.256.934.480.093.210;18:00-19:00;823;18;Elevati;38;29;42;36;07l
cancello 8 (linea limitata);4.174.618.168.675.790;12.341.785.027.048.000;08:00-09:00;912;24;Elevati;23;39;32;31;07l
cancello 8 (linea limitata);4.174.618.168.675.790;12.341.785.027.048.000;12:00-13:00;443;34;Moderati;30;30;33;31;07l
cancello 8 (linea limitata);4.174.618.168.675.790;12.341.785.027.048.000;18:00-19:00;764;21;Elevati;35;27;42;34;07l
p.za venezia;41.900.737;12.500.473;08:00-09:00;763;24;Elevati;32;38;46;38;916f
p.za venezia;41.900.737;12.500.473;12:00-13:00;396;36;Moderati;39;29;44;37;916f
p.za venezia;41.900.737;12.500.473;18:00-19:00;812;18;Elevati;28;28;41;32;916f
casaletto;417.739.229.211.242;1.249.119.475.926.320;08:00-09:00;740;18;Elevati;36;25;35;32;8bus
casaletto;417.739.229.211.242;1.249.119.475.926.320;12:00-13:00;461;31;Moderati;26;39;42;35;8bus
casaletto;417.739.229.211.242;1.249.119.475.926.320;18:00-19:00;876;17;Elevati;26;31;31;29;8bus
circolare vitinia;41.900.473;12.500.650;08:00-09:00;802;16;Elevati;31;36;38;35;9
circolare vitinia;41.900.473;12.500.650;12:00-13:00;348;30;Moderati;34;37;40;37;9
circolare vitinia;41.900.473;12.500.650;18:00-19:00;704;18;Elevati;33;35;38;35;9
circolare acilia (rl);41.900.662;12.500.125;08:00-09:00;734;19;Elevati;37;26;38;33;63
circolare acilia (rl);41.900.662;12.500.125;12:00-13:00;460;34;Moderati;22;38;36;32;63
circolare acilia (rl);41.900.662;12.500.125;18:00-19:00;869;18;Elevati;35;36;42;37;63
dragoncello;4.199.736.012.075.160;12.547.678.682.989.100;08:00-09:00;894;16;Elevati;22;36;39;32;63
dragoncello;4.199.736.012.075.160;12.547.678.682.989.100;12:00-13:00;470;38;Moderati;33;29;46;36;63
dragoncello;4.199.736.012.075.160;12.547.678.682.989.100;18:00-19:00;829;20;Elevati;38;36;45;39;63
casal palocco;41.900.987;12.500.458;08:00-09:00;785;20;Elevati;21;32;33;28;709
casal palocco;41.900.987;12.500.458;12:00-13:00;481;39;Moderati;24;33;48;35;709
casal palocco;41.900.987;12.500.458;18:00-19:00;805;18;Elevati;34;37;33;34;709
zenone di elea;4.193.840.980.308.730;12.553.535.107.630.200;08:00-09:00;996;17;Elevati;34;36;46;38;14
zenone di elea;4.193.840.980.308.730;12.553.535.107.630.200;12:00-13:00;485;31;Moderati;30;32;47;36;14
zenone di elea;4.193.840.980.308.730;12.553.535.107.630.200;18:00-19:00;968;24;Elevati;36;32;45;37;14
lido centro (rl);41.719.626.157.577.000;12.532.057.252.374.900;08:00-09:00;854;22;Elevati;26;27;39;30;14
lido centro (rl);41.719.626.157.577.000;12.532.057.252.374.900;12:00-13:00;306;31;Moderati;34;35;30;33;14
lido centro (rl);41.719.626.157.577.000;12.532.057.252.374.900;18:00-19:00;917;16;Elevati;32;29;49;36;14
sostitutivo tram 14 | v.le togliatti;41.901.017;12.500.335;08:00-09:00;953;24;Elevati;38;25;32;31;14bus
sostitutivo tram 14 | v.le togliatti;41.901.017;12.500.335;12:00-13:00;462;38;Moderati;31;25;34;30;14bus
sostitutivo tram 14 | v.le togliatti;41.901.017;12.500.335;18:00-19:00;793;16;Elevati;32;35;32;33;14bus
termini (ma-mb-fs);4.174.056.527.065.290;1.248.702.342.376.030;08:00-09:00;715;20;Elevati;34;39;43;38;714
termini (ma-mb-fs);4.174.056.527.065.290;1.248.702.342.376.030;12:00-13:00;342;35;Moderati;39;31;46;38;714
termini (ma-mb-fs);4.174.056.527.065.290;1.248.702.342.376.030;18:00-19:00;967;18;Elevati;37;30;35;34;714
xx settembre;41.903.122;12.500.502;08:00-09:00;937;19;Elevati;36;26;36;32;16
xx settembre;41.903.122;12.500.502;12:00-13:00;321;30;Moderati;34;29;37;33;16
xx settembre;41.903.122;12.500.502;18:00-19:00;898;16;Elevati;23;34;33;30;16
tuscolana (fs);41.741.850.252.635.900;1.234.008.229.635.170;08:00-09:00;744;19;Elevati;23;27;32;27;412
tuscolana (fs);41.741.850.252.635.900;1.234.008.229.635.170;12:00-13:00;481;33;Moderati;26;25;30;27;412
tuscolana (fs);41.741.850.252.635.900;1.234.008.229.635.170;18:00-19:00;984;21;Elevati;20;38;37;31;412
dragoncello;41.901.668;12.500.587;08:00-09:00;979;20;Elevati;23;33;48;34;63
dragoncello;41.901.668;12.500.587;12:00-13:00;431;36;Moderati;24;36;36;32;63
dragoncello;41.901.668;12.500.587;18:00-19:00;851;22;Elevati;27;27;40;31;63
axa;4.185.718.907.318.500;1.250.291.779.228.160;08:00-09:00;739;23;Elevati;37;39;36;37;016f
axa;4.185.718.907.318.500;1.250.291.779.228.160;12:00-13:00;345;30;Moderati;30;39;46;38;016f
axa;4.185.718.907.318.500;1.250.291.779.228.160;18:00-19:00;783;16;Elevati;20;33;42;31;016f
casal palocco;4.196.362.950.750.850;12.507.772.967.846.200;08:00-09:00;753;19;Elevati;23;28;37;29;709
casal palocco;4.196.362.950.750.850;12.507.772.967.846.200;12:00-13:00;421;30;Moderati;21;28;45;31;709
casal palocco;4.196.362.950.750.850;12.507.772.967.846.200;18:00-19:00;800;19;Elevati;22;31;36;29;709
dragoncello;41.901.080;12.500.223;08:00-09:00;823;24;Elevati;32;27;34;31;63
dragoncello;41.901.080;12.500.223;12:00-13:00;421;38;Moderati;22;35;36;31;63
dragoncello;41.901.080;12.500.223;18:00-19:00;801;23;Elevati;28;35;49;37;63
axa;41.877.358;12.440.358;08:00-09:00;750;23;Elevati;27;27;38;30;016f
axa;41.877.358;12.440.358;12:00-13:00;448;32;Moderati;29;29;31;29;016f
axa;41.877.358;12.440.358;18:00-19:00;769;18;Elevati;34;28;48;36;016f
infernetto;41.754.623.893.011.900;12.437.206.217.078.000;08:00-09:00;862;19;Elevati;29;34;48;37;70
infernetto;41.754.623.893.011.900;12.437.206.217.078.000;12:00-13:00;417;38;Moderati;35;32;48;38;70
infernetto;41.754.623.893.011.900;12.437.206.217.078.000;18:00-19:00;730;24;Elevati;33;27;48;36;70
p.za risorgimento;41.877.453;12.440.733;08:00-09:00;991;23;Elevati;38;31;32;33;590
p.za risorgimento;41.877.453;12.440.733;12:00-13:00;340;35;Moderati;38;31;31;33;590
p.za risorgimento;41.877.453;12.440.733;18:00-19:00;793;16;Elevati;31;39;41;37;590
circolare prima porta (rv);41.902.965;12.500.448;08:00-09:00;905;18;Elevati;39;38;44;40;20
circolare prima porta (rv);41.902.965;12.500.448;12:00-13:00;376;30;Moderati;36;36;34;35;20
circolare prima porta (rv);41.902.965;12.500.448;18:00-19:00;710;21;Elevati;32;25;34;30;20
via toffia;4.191.165.959.290.350;12.463.589.074.609.100;08:00-09:00;888;18;Elevati;34;37;40;37;20
via toffia;4.191.165.959.290.350;12.463.589.074.609.100;12:00-13:00;481;38;Moderati;29;31;42;34;20
via toffia;4.191.165.959.290.350;12.463.589.074.609.100;18:00-19:00;929;16;Elevati;21;31;35;29;20
anagnina (ma);41.901.745;12.500.448;08:00-09:00;728;18;Elevati;33;30;38;33;559
anagnina (ma);41.901.745;12.500.448;12:00-13:00;337;31;Moderati;37;25;33;31;559
anagnina (ma);41.901.745;12.500.448;18:00-19:00;812;23;Elevati;28;26;40;31;559
torre angela (mc);41.971.444.753.937.800;12.225.976.841.446.900;08:00-09:00;906;16;Elevati;31;34;39;34;500
torre angela (mc);41.971.444.753.937.800;12.225.976.841.446.900;12:00-13:00;459;39;Moderati;34;33;38;35;500
torre angela (mc);41.971.444.753.937.800;12.225.976.841.446.900;18:00-19:00;895;19;Elevati;24;30;47;33;500
anagnina (ma);41.902.067;12.499.590;08:00-09:00;741;24;Elevati;23;34;42;33;559
anagnina (ma);41.902.067;12.499.590;12:00-13:00;316;34;Moderati;22;37;34;31;559
anagnina (ma);41.902.067;12.499.590;18:00-19:00;745;21;Elevati;28;37;41;35;559
tor vergata;41.749.107;12.337.063;08:00-09:00;806;24;Elevati;39;32;43;38;46
tor vergata;41.749.107;12.337.063;12:00-13:00;462;36;Moderati;33;28;38;33;46
tor vergata;41.749.107;12.337.063;18:00-19:00;824;23;Elevati;20;25;43;29;46
anagnina (ma);41.842.970;12.584.973;08:00-09:00;960;23;Elevati;23;32;34;29;559
anagnina (ma);41.842.970;12.584.973;12:00-13:00;467;35;Moderati;35;25;40;33;559
anagnina (ma);41.842.970;12.584.973;18:00-19:00;862;24;Elevati;37;35;37;36;559
la giustiniana (fs);41.901.967;12.499.752;08:00-09:00;963;19;Elevati;38;35;34;35;303
la giustiniana (fs);41.901.967;12.499.752;12:00-13:00;426;32;Moderati;23;28;40;30;303
la giustiniana (fs);41.901.967;12.499.752;18:00-19:00;815;21;Elevati;25;35;30;30;303
grottarossa;41.901.297;12.500.420;08:00-09:00;747;18;Elevati;24;33;30;29;21
grottarossa;41.901.297;12.500.420;12:00-13:00;371;35;Moderati;38;39;41;39;21
grottarossa;41.901.297;12.500.420;18:00-19:00;863;18;Elevati;38;27;31;32;21
san leonardo murialdo;4.199.077.531.662.770;12.411.797.243.722.300;08:00-09:00;837;23;Elevati;27;34;41;34;23
san leonardo murialdo;4.199.077.531.662.770;12.411.797.243.722.300;12:00-13:00;335;38;Moderati;21;35;48;34;23
san leonardo murialdo;4.199.077.531.662.770;12.411.797.243.722.300;18:00-19:00;961;23;Elevati;37;37;36;36;23
trastevere;41.901.000;12.499.733;08:00-09:00;850;19;Elevati;38;31;31;33;280
trastevere;41.901.000;12.499.733;12:00-13:00;357;39;Moderati;39;28;33;33;280
trastevere;41.901.000;12.499.733;18:00-19:00;893;17;Elevati;29;29;31;29;280
p.le clodio;41.842.350;12.586.330;08:00-09:00;701;20;Elevati;34;30;33;32;89
p.le clodio;41.842.350;12.586.330;12:00-13:00;458;30;Moderati;36;27;40;34;89
p.le clodio;41.842.350;12.586.330;18:00-19:00;943;23;Elevati;36;25;36;32;89
malagrotta;4.180.886.067.464.030;123.102.863.569.026;08:00-09:00;822;21;Elevati;26;34;45;35;905
malagrotta;4.180.886.067.464.030;123.102.863.569.026;12:00-13:00;344;33;Moderati;39;27;36;34;905
malagrotta;4.180.886.067.464.030;123.102.863.569.026;18:00-19:00;926;22;Elevati;29;27;35;30;905
magliana vecchia;41.900.835;12.500.470;08:00-09:00;925;22;Elevati;31;29;37;32;981
magliana vecchia;41.900.835;12.500.470;12:00-13:00;369;39;Moderati;33;35;44;37;981
magliana vecchia;41.900.835;12.500.470;18:00-19:00;715;22;Elevati;37;27;40;34;981
saxa rubra (rv);41.876.124.535.047.500;123.036.923.308.106;08:00-09:00;994;22;Elevati;22;38;40;33;334
saxa rubra (rv);41.876.124.535.047.500;123.036.923.308.106;12:00-13:00;435;35;Moderati;29;31;38;32;334
saxa rubra (rv);41.876.124.535.047.500;123.036.923.308.106;18:00-19:00;752;22;Elevati;21;37;44;34;334
tomba di nerone;41.901.522;12.499.110;08:00-09:00;805;18;Elevati;33;26;39;32;301
tomba di nerone;41.901.522;12.499.110;12:00-13:00;463;33;Moderati;30;32;37;33;301
tomba di nerone;41.901.522;12.499.110;18:00-19:00;834;24;Elevati;27;29;30;28;301
laurentina (mb);41.896.738;12.483.128;08:00-09:00;725;16;Elevati;28;29;36;31;772
laurentina (mb);41.896.738;12.483.128;12:00-13:00;305;35;Moderati;20;38;35;31;772
laurentina (mb);41.896.738;12.483.128;18:00-19:00;968;23;Elevati;26;37;44;35;772
piazza venezia;41.900.737;12.500.473;08:00-09:00;746;24;Elevati;21;27;31;26;30
piazza venezia;41.900.737;12.500.473;12:00-13:00;474;33;Moderati;32;37;34;34;30
piazza venezia;41.900.737;12.500.473;18:00-19:00;797;17;Elevati;32;29;35;32;30
clodio;41.842.273;12.587.483;08:00-09:00;943;19;Elevati;27;27;34;29;31
clodio;41.842.273;12.587.483;12:00-13:00;379;35;Moderati;28;25;40;31;31
clodio;41.842.273;12.587.483;18:00-19:00;897;20;Elevati;27;36;40;34;31
laurentina (mb);41.894.908;12.481.805;08:00-09:00;770;23;Elevati;29;28;44;33;772
laurentina (mb);41.894.908;12.481.805;12:00-13:00;469;38;Moderati;37;39;34;36;772
laurentina (mb);41.894.908;12.481.805;18:00-19:00;752;23;Elevati;28;34;36;32;772
colli portuensi;41.900.473;12.500.650;08:00-09:00;748;20;Elevati;36;27;45;36;713
colli portuensi;41.900.473;12.500.650;12:00-13:00;469;30;Moderati;39;26;45;36;713
colli portuensi;41.900.473;12.500.650;18:00-19:00;822;22;Elevati;21;29;38;29;713
clodio;41.842.225;12.587.555;08:00-09:00;837;19;Elevati;28;38;38;34;31
clodio;41.842.225;12.587.555;12:00-13:00;340;35;Moderati;34;30;46;36;31
clodio;41.842.225;12.587.555;18:00-19:00;846;18;Elevati;34;38;43;38;31
p.za risorgimento;41.894.957;12.481.765;08:00-09:00;994;24;Elevati;32;28;45;35;590
p.za risorgimento;41.894.957;12.481.765;12:00-13:00;391;39;Moderati;34;36;45;38;590
p.za risorgimento;41.894.957;12.481.765;18:00-19:00;888;18;Elevati;27;37;39;34;590
staz. saxa rubra (rv);41.900.662;12.500.125;08:00-09:00;970;21;Elevati;31;30;40;33;32
staz. saxa rubra (rv);41.900.662;12.500.125;12:00-13:00;316;35;Moderati;30;35;47;37;32
staz. saxa rubra (rv);41.900.662;12.500.125;18:00-19:00;993;18;Elevati;31;26;48;35;32
q.re portuense;41.894.840;12.481.867;08:00-09:00;853;17;Elevati;23;37;36;32;44
q.re portuense;41.894.840;12.481.867;12:00-13:00;399;36;Moderati;38;25;34;32;44
q.re portuense;41.894.840;12.481.867;18:00-19:00;773;18;Elevati;37;38;35;36;44
p.le clodio;41.900.987;12.500.458;08:00-09:00;903;16;Elevati;34;31;30;31;89
p.le clodio;41.900.987;12.500.458;12:00-13:00;464;38;Moderati;22;32;31;28;89
p.le clodio;41.900.987;12.500.458;18:00-19:00;941;18;Elevati;29;26;49;34;89
via paola;41.894.717;12.481.938;08:00-09:00;845;21;Elevati;30;27;39;32;881
via paola;41.894.717;12.481.938;12:00-13:00;492;35;Moderati;26;38;37;33;881
via paola;41.894.717;12.481.938;18:00-19:00;947;20;Elevati;20;27;47;31;881
monte del gallo;41.901.017;12.500.335;08:00-09:00;761;15;Elevati;21;31;30;27;34
monte del gallo;41.901.017;12.500.335;12:00-13:00;352;37;Moderati;31;28;42;33;34
monte del gallo;41.901.017;12.500.335;18:00-19:00;710;21;Elevati;20;26;46;30;34
termini (ma-mb-fs);41.894.575;12.482.013;08:00-09:00;913;22;Elevati;21;33;45;33;714
termini (ma-mb-fs);41.894.575;12.482.013;12:00-13:00;361;38;Moderati;29;37;40;35;714
termini (ma-mb-fs);41.894.575;12.482.013;18:00-19:00;920;23;Elevati;22;31;32;28;714
porta di roma;41.903.122;12.500.502;08:00-09:00;746;24;Elevati;34;34;39;35;435
porta di roma;41.903.122;12.500.502;12:00-13:00;391;39;Moderati;37;34;34;35;435
porta di roma;41.903.122;12.500.502;18:00-19:00;833;19;Elevati;29;31;36;32;435
termini (ma-mb-fs);41.708.766.138.083.100;12.514.129.877.535.700;08:00-09:00;776;23;Elevati;24;39;37;33;714
termini (ma-mb-fs);41.708.766.138.083.100;12.514.129.877.535.700;12:00-13:00;424;33;Moderati;32;31;35;32;714
termini (ma-mb-fs);41.708.766.138.083.100;12.514.129.877.535.700;18:00-19:00;760;15;Elevati;31;26;40;32;714
castel sant'angelo;41.901.668;12.500.587;08:00-09:00;878;22;Elevati;34;38;31;34;62
castel sant'angelo;41.901.668;12.500.587;12:00-13:00;390;32;Moderati;32;34;37;34;62
castel sant'angelo;41.901.668;12.500.587;18:00-19:00;890;19;Elevati;26;28;40;31;62
rebibbia (mb);4.193.740.975.151.080;1.224.538.067.737.230;08:00-09:00;707;21;Elevati;27;35;46;36;443
rebibbia (mb);4.193.740.975.151.080;1.224.538.067.737.230;12:00-13:00;352;30;Moderati;35;25;31;30;443
rebibbia (mb);4.193.740.975.151.080;1.224.538.067.737.230;18:00-19:00;953;15;Elevati;36;36;38;36;443
case rosse;41.901.080;12.500.223;08:00-09:00;909;22;Elevati;39;26;42;35;43
case rosse;41.901.080;12.500.223;12:00-13:00;411;37;Moderati;32;26;45;34;43
case rosse;41.901.080;12.500.223;18:00-19:00;770;20;Elevati;26;25;40;30;43
q.re portuense;4.198.815.655.748.320;1.239.666.639.113.220;08:00-09:00;926;24;Elevati;34;34;34;34;44
q.re portuense;4.198.815.655.748.320;1.239.666.639.113.220;12:00-13:00;384;34;Moderati;32;30;48;36;44
q.re portuense;4.198.815.655.748.320;1.239.666.639.113.220;18:00-19:00;812;20;Elevati;28;30;47;35;44
teatro marcello;41.902.753;12.500.107;08:00-09:00;867;21;Elevati;28;30;44;34;781
teatro marcello;41.902.753;12.500.107;12:00-13:00;476;39;Moderati;21;36;33;30;781
teatro marcello;41.902.753;12.500.107;18:00-19:00;902;23;Elevati;33;35;36;34;781
casalone;41.998.889.012.216.400;12.368.602.863.249.700;08:00-09:00;788;21;Elevati;27;26;48;33;45
casalone;41.998.889.012.216.400;12.368.602.863.249.700;12:00-13:00;364;33;Moderati;39;35;38;37;45
casalone;41.998.889.012.216.400;12.368.602.863.249.700;18:00-19:00;741;20;Elevati;31;31;34;32;45
grotte celoni (mc);41.902.965;12.500.448;08:00-09:00;780;21;Elevati;36;36;38;36;507
grotte celoni (mc);41.902.965;12.500.448;12:00-13:00;397;32;Moderati;39;35;37;37;507
grotte celoni (mc);41.902.965;12.500.448;18:00-19:00;705;24;Elevati;33;36;47;38;507
monte mario (fs);41.906.015;12.496.763;08:00-09:00;930;17;Elevati;35;33;44;37;990
monte mario (fs);41.906.015;12.496.763;12:00-13:00;387;39;Moderati;30;36;48;38;990
monte mario (fs);41.906.015;12.496.763;18:00-19:00;757;23;Elevati;30;28;32;30;990
